set_no,name,price_store,price_used,aftermarket,popularity,category,year,volume,weight,total_parts,number_parts,number_colors,scolor_1st,scolor_2nd
6696-1,Fuel Tanker,,63.0,,12.0,Modern-Town,1984.0,,,106,50,9,White,Black
6804-1,Surface Rover,0.99,13.0,12.01,16.0,Space,1984.0,,,21,15,6,Black,Gray
6824-1,Space Dart I,,24.0,,12.899999999999999,Space,1984.0,,,48,29,7,Gray,Black
6846-1,Tri-Star Voyager,4.45,10.0,5.55,24.0,Space,1984.0,,,69,39,5,Blue,White
6871-1,Star Patrol Launcher,,18.0,,8.0,Space,1984.0,,,71,48,9,Gray,Black
6881-1,Lunar Rocket Launcher,,21.0,,5.0,Space,1984.0,,,98,47,7,Blue,Black
6928-1,Uranium Search Vehicle,,42.0,,14.100000000000001,Space,1984.0,,,201,69,7,Blue,Gray
6951-1,Robot Command Center,,67.0,,39.2,Space,1984.0,,,295,111,9,Blue,Gray
6971-1,Inter-Galactic Command Base,,175.0,,28.799999999999997,Space,1984.0,,,329,115,8,Blue,White
8020-1,Universal Set,,13.0,,20.0,Technical,1984.0,,,124,41,6,Yellow,Gray
8040-1,Universal Set,,19.0,,12.899999999999999,Technical,1984.0,,,162,51,4,Gray,Black
8843-1,Fork-Lift Truck,,42.0,,14.0,Technical,1984.0,,,272,82,4,Black,Gray
8851-1,Excavator,,68.0,,42.9,Technical,1984.0,,,367,73,4,Black,Gray
106-1,UNICEF Van,,1493.0,,5.0,Modern-Town,1985.0,,,59,36,9,Black,Blue
107-2,Mail Truck,,156.0,,10.0,Modern-Town,1985.0,,,138,56,9,Black,White
1552-1,Maersk Truck and Trailer Unit,,320.0,,5.0,Modern-Town,1985.0,,,379,94,12,Blue,Black
1966-1,Car Repair Shop,,74.0,,9.0,Modern-Town,1985.0,,,302,119,10,Black,Blue
1968-1,(Unnamed),,96.0,,27.3,Space,1985.0,,,183,78,10,Gray,Black
1972-1,Go-Kart,,15.0,,5.0,Technical,1985.0,,,98,35,4,Gray,Black
3624-1,Flower Car,,15.0,,,Bigfig-Junior,1985.0,,,31,16,6,Red,Yellow
3631-1,The Fabuland Big Band Peter Pig and Gabriel Gorilla,5.25,21.0,15.75,,Bigfig-Junior,1985.0,,,27,14,6,Blue,Yellow
3641-1,Car and Camper,6.55,17.0,10.45,,Bigfig-Junior,1985.0,,,26,18,7,Yellow,Red
3642-1,Fire Engine,,14.0,,,Bigfig-Junior,1985.0,,,18,12,4,Red,Black
3643-1,Police Van,6.55,13.0,6.45,,Bigfig-Junior,1985.0,,,12,11,4,Blue,Black
3660-1,Fisherman's Wharf,11.0,20.0,9.0,,Bigfig-Junior,1985.0,,,30,20,9,Red,Yellow
3673-1,Paddle Steamer,20.0,53.0,33.0,,Bigfig-Junior,1985.0,,,64,25,8,Yellow,Red
3681-1,Amusement Park,33.35,91.0,57.65,,Bigfig-Junior,1985.0,,,106,56,8,Blue,Red
3714-1,Workman and Barrow,2.25,17.0,14.75,,Bigfig-Junior,1985.0,,,7,4,4,Yellow,Red
3715-1,Hannah's Flower Stand,2.25,10.0,7.75,,Bigfig-Junior,1985.0,,,23,12,6,White,Red
3716-1,Telephone,2.25,9.0,6.75,,Bigfig-Junior,1985.0,,,9,6,5,Blue,Brown
3717-1,Mouse in a Tub Fishing,,10.0,,,Bigfig-Junior,1985.0,,,10,7,4,Yellow,Blue
3792-1,Bedroom,3.35,7.0,3.65,,Bigfig-Junior,1985.0,,,17,12,6,Red,Yellow
